Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-99.29,49.28,BALDUR,5010140,1/1/2017,2017,1,1,†,,M,-11,,,M,,M,,M,,,,,,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/2/2017,2017,1,2,†,-15,,,M,,M,,M,,M,0,,8,,8,,,,,,,
-99.29,49.28,BALDUR,5010140,1/3/2017,2017,1,3,†,-18,,-20.5,,-19.3,,37.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/4/2017,2017,1,4,†,-20.5,,-28,,-24.3,,42.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/5/2017,2017,1,5,†,-19,,-29.5,,-24.3,,42.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/6/2017,2017,1,6,†,,M,-28,,,M,,M,,M,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/7/2017,2017,1,7,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/8/2017,2017,1,8,†,,M,,M,,M,,M,,M,,,,,,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/9/2017,2017,1,9,†,-17.5,,,M,,M,,M,,M,0,,4,,4,,,,,,,
-99.29,49.28,BALDUR,5010140,1/10/2017,2017,1,10,†,-16.5,,-21,,-18.8,,36.8,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/11/2017,2017,1,11,†,-13,,-29,,-21,,39,,0,,0,,1.6,,1.6,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/12/2017,2017,1,12,†,-22,,-26.5,,-24.3,,42.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/13/2017,2017,1,13,†,-0.5,,-35,,-17.8,,35.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/14/2017,2017,1,14,†,-5,,-9.5,,-7.3,,25.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/15/2017,2017,1,15,†,-2,,-18.5,,-10.3,,28.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/16/2017,2017,1,16,†,-4.5,,-15.5,,-10,,28,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/17/2017,2017,1,17,†,3,,-14,,-5.5,,23.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/18/2017,2017,1,18,†,5,,-12,,-3.5,,21.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/19/2017,2017,1,19,†,-2,,-7.5,,-4.8,,22.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/20/2017,2017,1,20,†,4,,-10,,-3,,21,,0,,0,T,0,,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/21/2017,2017,1,21,†,1,,0,,0.5,,17.5,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/22/2017,2017,1,22,†,-0.5,,-2.5,,-1.5,,19.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/23/2017,2017,1,23,†,-3.5,,-4,,-3.8,,21.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/24/2017,2017,1,24,†,-2.5,,-6.5,,-4.5,,22.5,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/25/2017,2017,1,25,†,-4,,-8,,-6,,24,,0,,0,,1.6,,1.6,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/26/2017,2017,1,26,†,-3,,-13.5,,-8.3,,26.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/27/2017,2017,1,27,†,-20,,-13,,-16.5,,34.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/28/2017,2017,1,28,†,-2,,-31,,-16.5,,34.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/29/2017,2017,1,29,†,-1,,-9,,-5,,23,,0,,0,,2,,2,,0,,,,,
-99.29,49.28,BALDUR,5010140,1/30/2017,2017,1,30,†,3,,-8.5,,-2.8,,20.8,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,1/31/2017,2017,1,31,†,-1.5,,-5,,-3.3,,21.3,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,2/1/2017,2017,2,1,†,-13,,-24,,-18.5,,36.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/2/2017,2017,2,2,†,-14,,-23,,-18.5,,36.5,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/3/2017,2017,2,3,†,-8,,-21,,-14.5,,32.5,,0,,0,,1,,1,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/4/2017,2017,2,4,†,-9.5,,-19,,-14.3,,32.3,,0,,0,,1,,1,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/5/2017,2017,2,5,†,-14,,-24,,-19,,37,,0,,0,,9,,9,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/6/2017,2017,2,6,†,-14.5,,-23,,-18.8,,36.8,,0,,0,,7.6,,7.6,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/7/2017,2017,2,7,†,-15.5,,-25,,-20.3,,38.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/8/2017,2017,2,8,†,-19,,-28.5,,-23.8,,41.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/9/2017,2017,2,9,†,-5.5,,-24,,-14.8,,32.8,,0,,0,,4,,4,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/10/2017,2017,2,10,†,-5,,-23,,-14,,32,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/11/2017,2017,2,11,†,,M,-17,,,M,,M,,M,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/12/2017,2017,2,12,†,-1,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/13/2017,2017,2,13,†,3.5,,-9,,-2.8,,20.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/14/2017,2017,2,14,†,0.5,,-6,,-2.8,,20.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/15/2017,2017,2,15,†,3.5,,-13,,-4.8,,22.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/16/2017,2017,2,16,†,4.5,,0,,2.3,,15.7,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/17/2017,2017,2,17,†,8,,-1.5,,3.3,,14.7,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/18/2017,2017,2,18,†,5,,-1.5,,1.8,,16.2,,0,,0,T,0,,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,2/19/2017,2017,2,19,†,3.5,,-0.5,,1.5,,16.5,,0,,0,T,0,,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,2/20/2017,2017,2,20,†,,M,0.5,,,M,,M,,M,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/21/2017,2017,2,21,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/22/2017,2017,2,22,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/23/2017,2017,2,23,†,4,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/24/2017,2017,2,24,†,-4,,-8,,-6,,24,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/25/2017,2017,2,25,†,-7.5,,-12,,-9.8,,27.8,,0,,0,,0,T,0,T,0,,,,,
-99.29,49.28,BALDUR,5010140,2/26/2017,2017,2,26,†,-5.5,,-20,,-12.8,,30.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/27/2017,2017,2,27,†,-7,,-15,,-11,,29,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,2/28/2017,2017,2,28,†,-8,,-22,,-15,,33,,0,,0,,1,,1,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/1/2017,2017,3,1,†,-5.5,,-14,,-9.8,,27.8,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/2/2017,2017,3,2,†,-12,,-22,,-17,,35,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/3/2017,2017,3,3,†,-4,,-18.5,,-11.3,,29.3,,0,,0,,0,,0,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/4/2017,2017,3,4,†,,M,-12.5,,,M,,M,,M,,,,,,,0,,,,,
-99.29,49.28,BALDUR,5010140,3/5/2017,2017,3,5,†,6,,,M,,M,,M,,M,0,T,0,,0,T,,,,,,
-99.29,49.28,BALDUR,5010140,3/6/2017,2017,3,6,†,1.5,,-1,,0.3,,17.7,,0,,0,T,5,,5,,0,,,,,
