Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-100.65,52.03,COWAN,5040FJ3,1/1/2016,2016,1,1,†,3,,-10,,-3.5,,21.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/2/2016,2016,1,2,†,4,,-6,,-1,,19,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/3/2016,2016,1,3,†,1,,-9,,-4,,22,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/4/2016,2016,1,4,†,2,,-17,,-7.5,,25.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/5/2016,2016,1,5,†,1,,-16,,-7.5,,25.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/6/2016,2016,1,6,†,-11,,-17,,-14,,32,,0,,0,,2,,2,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/7/2016,2016,1,7,†,-15,,-17,,-16,,34,,0,,0,,10.5,,10.5,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/8/2016,2016,1,8,†,-18,,-24,,-21,,39,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/9/2016,2016,1,9,†,-17,,-27,,-22,,40,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/10/2016,2016,1,10,†,-17,,-33,,-25,,43,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,1/11/2016,2016,1,11,†,-14,,-29,,-21.5,,39.5,,0,,0,,0,,0,,0,,,,,
