Macrotrends Data Download,
,
Soybean Oil Prices - 45 Year Historical Chart,
,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",
,
,
date, value
10/26/1960,0.0914
10/27/1960,0.0911
10/28/1960,0.0915
10/31/1960,0.0926
11/1/1960,0.092
11/2/1960,0.092
11/3/1960,0.092
11/4/1960,0.0918
11/7/1960,0.0918
11/9/1960,0.0924
11/10/1960,0.0915
11/11/1960,0.0916
11/14/1960,0.0898
11/15/1960,0.09
11/16/1960,0.0901
11/17/1960,0.0912
11/18/1960,0.0906
11/21/1960,0.0899
11/22/1960,0.0898
11/23/1960,0.0906
11/25/1960,0.0906
11/28/1960,0.0901
11/29/1960,0.0885
11/30/1960,0.089
12/1/1960,0.0888
12/2/1960,0.0891
12/5/1960,0.0893
12/6/1960,0.0896
12/7/1960,0.0901
12/8/1960,0.0902
12/9/1960,0.0903
12/12/1960,0.091
12/13/1960,0.09
12/14/1960,0.0898
12/15/1960,0.0896
12/16/1960,0.0901
12/19/1960,0.0905
12/20/1960,0.0899
12/21/1960,0.0909
12/22/1960,0.091
12/23/1960,0.0916
12/27/1960,0.0912
12/28/1960,0.0918
12/29/1960,0.0928
12/30/1960,0.0932
1/3/1961,0.0946
1/4/1961,0.0944
1/5/1961,0.0954
1/6/1961,0.0988
1/9/1961,0.1004
1/10/1961,0.0997
1/11/1961,0.0998
1/12/1961,0.1003
1/13/1961,0.1017
1/16/1961,0.1053
1/17/1961,0.1063
1/18/1961,0.1045
1/19/1961,0.1039
1/20/1961,0.1025
1/23/1961,0.1038
1/24/1961,0.1055
1/25/1961,0.1051
1/26/1961,0.107
1/27/1961,0.1068
1/30/1961,0.1095
1/31/1961,0.1067
2/1/1961,0.1098
2/2/1961,0.1103
2/3/1961,0.1122
2/6/1961,0.115
2/7/1961,0.1126
2/8/1961,0.1154
2/9/1961,0.116
2/10/1961,0.1167
2/13/1961,0.1172
2/14/1961,0.118
2/15/1961,0.118
2/16/1961,0.1186
2/17/1961,0.1168
2/20/1961,0.1153
2/21/1961,0.1161
2/23/1961,0.1195
2/24/1961,0.12
2/27/1961,0.1224
2/28/1961,0.122
3/1/1961,0.116
3/2/1961,0.117
3/3/1961,0.1184
3/6/1961,0.119
3/7/1961,0.1174
3/8/1961,0.117
3/9/1961,0.1145
3/10/1961,0.1157
3/13/1961,0.1117
3/14/1961,0.1142
3/15/1961,0.1121
3/16/1961,0.1133
3/17/1961,0.113
3/20/1961,0.112
3/21/1961,0.1122
3/22/1961,0.114
3/23/1961,0.1162
3/24/1961,0.1161
3/27/1961,0.1157
3/28/1961,0.1163
3/29/1961,0.114
3/30/1961,0.1151
4/3/1961,0.115
4/4/1961,0.1161
4/5/1961,0.1181
4/6/1961,0.119
4/7/1961,0.1178
4/10/1961,0.1205
4/11/1961,0.126
4/12/1961,0.1237
4/13/1961,0.123
4/14/1961,0.1228
4/17/1961,0.1181
4/18/1961,0.1228
4/19/1961,0.1241
4/20/1961,0.123
4/21/1961,0.1237
4/24/1961,0.1238
4/25/1961,0.1278
4/26/1961,0.1244
4/27/1961,0.1242
4/28/1961,0.1247
5/1/1961,0.1246
5/2/1961,0.1242
5/3/1961,0.123
5/4/1961,0.1218
5/5/1961,0.1206
5/8/1961,0.1197
5/9/1961,0.1173
5/10/1961,0.1192
5/11/1961,0.119
5/12/1961,0.12
5/15/1961,0.1186
5/16/1961,0.1182
5/17/1961,0.1193
5/18/1961,0.1193
5/19/1961,0.1185
5/22/1961,0.115
5/23/1961,0.1157
5/24/1961,0.1153
5/25/1961,0.1155
5/26/1961,0.113
5/29/1961,0.1138
5/31/1961,0.1162
6/1/1961,0.1159
6/2/1961,0.116
6/5/1961,0.1169
6/6/1961,0.115
6/7/1961,0.1157
6/8/1961,0.1157
6/9/1961,0.1132
6/12/1961,0.1092
6/13/1961,0.1092
6/14/1961,0.1112
6/15/1961,0.1074
6/16/1961,0.108
6/19/1961,0.1073
6/20/1961,0.1067
6/21/1961,0.1059
6/22/1961,0.107
6/23/1961,0.1084
6/26/1961,0.1058
6/27/1961,0.1061
6/28/1961,0.1067
6/29/1961,0.108
6/30/1961,0.1095
7/3/1961,0.1127
7/5/1961,0.1127
7/6/1961,0.111
7/7/1961,0.1092
7/10/1961,0.1083
7/11/1961,0.1086
7/12/1961,0.1071
7/13/1961,0.1074
7/14/1961,0.1042
7/17/1961,0.1034
7/18/1961,0.1048
7/19/1961,0.1056
7/20/1961,0.1038
7/21/1961,0.1052
7/24/1961,0.1062
7/25/1961,0.1093
7/26/1961,0.1085
7/27/1961,0.1089
7/28/1961,0.1088
7/31/1961,0.1089
8/1/1961,0.1075
8/2/1961,0.1085
8/3/1961,0.1078
8/4/1961,0.1083
8/7/1961,0.108
8/8/1961,0.1076
8/9/1961,0.1072
8/10/1961,0.1081
8/11/1961,0.1078
8/14/1961,0.1084
8/15/1961,0.1102
8/16/1961,0.109
8/17/1961,0.1102
8/18/1961,0.1102
8/21/1961,0.1087
8/22/1961,0.1074
8/23/1961,0.1085
8/24/1961,0.1082
8/25/1961,0.1082
8/28/1961,0.1074
8/29/1961,0.1069
8/30/1961,0.107
8/31/1961,0.1066
9/1/1961,0.1059
9/5/1961,0.1055
9/6/1961,0.1049
9/7/1961,0.1042
9/8/1961,0.1046
9/11/1961,0.1053
9/12/1961,0.1061
9/13/1961,0.1053
9/14/1961,0.1043
9/15/1961,0.1041
9/18/1961,0.1034
9/19/1961,0.1036
9/20/1961,0.1041
9/21/1961,0.1048
9/22/1961,0.1048
9/25/1961,0.1048
9/26/1961,0.1043
9/27/1961,0.1053
9/28/1961,0.1054
9/29/1961,0.1058
10/2/1961,0.1066
10/3/1961,0.1088
10/4/1961,0.1095
10/5/1961,0.1091
10/6/1961,0.108
10/9/1961,0.1086
10/10/1961,0.1092
10/11/1961,0.1085
10/12/1961,0.1075
10/13/1961,0.1094
10/16/1961,0.1083
10/17/1961,0.1074
10/18/1961,0.1077
10/19/1961,0.1068
10/20/1961,0.1066
10/23/1961,0.1066
10/24/1961,0.1055
10/25/1961,0.1055
10/26/1961,0.1044
10/27/1961,0.1043
10/30/1961,0.1041
10/31/1961,0.1041
11/1/1961,0.1041
11/2/1961,0.1037
11/3/1961,0.104
11/6/1961,0.1047
11/7/1961,0.105
11/8/1961,0.1043
11/9/1961,0.1038
11/10/1961,0.1057
11/13/1961,0.1049
11/14/1961,0.1041
11/15/1961,0.1038
11/16/1961,0.1037
11/17/1961,0.1037
11/20/1961,0.1031
11/21/1961,0.1043
11/22/1961,0.1038
11/24/1961,0.1041
11/27/1961,0.1036
11/28/1961,0.1036
11/29/1961,0.1035
11/30/1961,0.1043
12/1/1961,0.1039
12/4/1961,0.1042
12/5/1961,0.1042
12/6/1961,0.1049
12/7/1961,0.1043
12/8/1961,0.1049
12/11/1961,0.1051
12/12/1961,0.1066
12/13/1961,0.106
12/14/1961,0.1065
12/15/1961,0.1081
12/18/1961,0.1072
12/19/1961,0.1067
12/20/1961,0.1065
12/21/1961,0.1065
12/22/1961,0.1062
12/26/1961,0.106
12/27/1961,0.1056
12/28/1961,0.1061
12/29/1961,0.1061
1/2/1962,0.1064
1/3/1962,0.1066
1/4/1962,0.106
1/5/1962,0.1066
1/8/1962,0.1066
1/9/1962,0.1073
1/10/1962,0.107
1/11/1962,0.1074
1/12/1962,0.1089
1/15/1962,0.1086
1/16/1962,0.1071
1/17/1962,0.1076
1/18/1962,0.1072
1/19/1962,0.1072
1/22/1962,0.1064
1/23/1962,0.1067
1/24/1962,0.1066
1/25/1962,0.1062
1/26/1962,0.1054
1/29/1962,0.104
1/30/1962,0.1036
1/31/1962,0.104
2/1/1962,0.1037
2/2/1962,0.1049
2/5/1962,0.1049
2/6/1962,0.1043
2/7/1962,0.1043
2/8/1962,0.1037
2/9/1962,0.1034
2/12/1962,0.1035
2/13/1962,0.1039
2/14/1962,0.1043
2/15/1962,0.1038
2/16/1962,0.1028
2/19/1962,0.1021
2/20/1962,0.1021
2/21/1962,0.1013
2/23/1962,0.1017
2/26/1962,0.1019
2/27/1962,0.1012
2/28/1962,0.1013
3/1/1962,0.1022
3/2/1962,0.1029
3/5/1962,0.103
3/6/1962,0.1027
3/7/1962,0.1033
3/8/1962,0.1036
3/9/1962,0.1035
3/12/1962,0.1023
3/13/1962,0.1021
3/14/1962,0.102
3/15/1962,0.1019
3/16/1962,0.1019
3/19/1962,0.1016
3/20/1962,0.1014
3/21/1962,0.1022
3/22/1962,0.102
3/23/1962,0.1024
3/26/1962,0.1028
3/27/1962,0.1025
3/28/1962,0.1023
3/29/1962,0.1012
3/30/1962,0.101
4/2/1962,0.1012
4/3/1962,0.1011
4/4/1962,0.1013
4/5/1962,0.102
4/6/1962,0.1018
4/9/1962,0.1019
4/10/1962,0.1018
4/11/1962,0.1014
4/12/1962,0.1013
4/13/1962,0.1003
4/16/1962,0.1
4/17/1962,0.0996
4/18/1962,0.0987
4/19/1962,0.0985
4/23/1962,0.0971
4/24/1962,0.0969
4/25/1962,0.0959
4/26/1962,0.0974
4/27/1962,0.0981
4/30/1962,0.0986
5/1/1962,0.0991
5/2/1962,0.1001
5/3/1962,0.0992
5/4/1962,0.0982
5/7/1962,0.0974
5/8/1962,0.0966
5/9/1962,0.0955
5/10/1962,0.0948
5/11/1962,0.0931
5/14/1962,0.0935
5/15/1962,0.094
5/16/1962,0.0945
5/17/1962,0.0934
5/18/1962,0.0916
5/21/1962,0.0914
5/22/1962,0.0881
5/23/1962,0.0869
5/24/1962,0.0868
5/25/1962,0.0878
5/28/1962,0.0865
5/29/1962,0.0841
5/31/1962,0.0844
6/1/1962,0.0848
6/4/1962,0.0859
6/5/1962,0.0858
6/6/1962,0.0846
6/7/1962,0.0859
6/8/1962,0.0854
6/11/1962,0.0846
6/12/1962,0.0849
6/13/1962,0.0856
6/14/1962,0.0851
6/15/1962,0.0844
6/18/1962,0.0847
6/19/1962,0.0836
6/20/1962,0.0825
6/21/1962,0.0833
6/22/1962,0.0833
6/25/1962,0.0826
6/26/1962,0.0818
6/27/1962,0.0815
6/28/1962,0.0808
6/29/1962,0.0802
7/2/1962,0.0787
7/3/1962,0.079
7/5/1962,0.0776
7/6/1962,0.0768
7/9/1962,0.075
7/10/1962,0.076
7/11/1962,0.0771
7/12/1962,0.0796
7/13/1962,0.0811
7/16/1962,0.0819
7/17/1962,0.0807
7/18/1962,0.0795
7/19/1962,0.0796
7/20/1962,0.0806
7/23/1962,0.0808
7/24/1962,0.0815
7/25/1962,0.0812
7/26/1962,0.0811
7/27/1962,0.0827
7/30/1962,0.0833
7/31/1962,0.0828
8/1/1962,0.0847
8/2/1962,0.0838
8/3/1962,0.0829
8/6/1962,0.082
8/7/1962,0.0827
8/8/1962,0.0824
8/9/1962,0.0822
8/10/1962,0.0819
8/13/1962,0.0814
8/14/1962,0.0807
8/15/1962,0.0813
8/16/1962,0.0807
8/17/1962,0.081
8/20/1962,0.081
8/21/1962,0.0815
8/22/1962,0.0819
8/23/1962,0.0823
8/24/1962,0.0814
8/27/1962,0.0803
8/28/1962,0.0794
8/29/1962,0.078
8/30/1962,0.0782
8/31/1962,0.0786
9/4/1962,0.0787
9/5/1962,0.079
9/6/1962,0.0797
9/7/1962,0.0804
9/10/1962,0.0792
9/11/1962,0.08
9/12/1962,0.0819
9/13/1962,0.0806
9/14/1962,0.0806
9/17/1962,0.0805
9/18/1962,0.0807
9/19/1962,0.0805
9/20/1962,0.0805
9/21/1962,0.0807
9/24/1962,0.0803
9/25/1962,0.0806
9/26/1962,0.0809
9/27/1962,0.0815
9/28/1962,0.0822
10/1/1962,0.082
10/2/1962,0.0824
10/3/1962,0.0838
10/4/1962,0.0847
10/5/1962,0.0845
10/8/1962,0.0847
10/9/1962,0.0851
10/10/1962,0.0862
10/11/1962,0.0851
10/12/1962,0.0856
10/15/1962,0.0867
10/16/1962,0.0874
10/17/1962,0.088
10/18/1962,0.0874
10/19/1962,0.087
10/22/1962,0.0881
10/23/1962,0.091
10/24/1962,0.091
10/25/1962,0.0895
10/26/1962,0.0916
10/29/1962,0.088
10/30/1962,0.0873
10/31/1962,0.0879
11/1/1962,0.087
11/2/1962,0.0862
11/5/1962,0.0862
11/7/1962,0.0854
11/8/1962,0.0852
11/9/1962,0.0843
11/12/1962,0.085
11/13/1962,0.0844
11/14/1962,0.0851
11/15/1962,0.0861
11/16/1962,0.0862
11/19/1962,0.0856
11/20/1962,0.0866
11/21/1962,0.086
11/23/1962,0.086
11/26/1962,0.0855
11/27/1962,0.0849
11/28/1962,0.0856
11/29/1962,0.0859
11/30/1962,0.0864
12/3/1962,0.0866
12/4/1962,0.0863
12/5/1962,0.0876
12/6/1962,0.087
12/7/1962,0.0872
12/10/1962,0.0868
12/11/1962,0.0866
12/12/1962,0.0853
12/13/1962,0.0858
12/14/1962,0.0859
12/17/1962,0.0861
12/18/1962,0.0861
12/19/1962,0.0852
12/20/1962,0.0836
12/21/1962,0.0835
12/26/1962,0.0842
12/27/1962,0.0858
12/28/1962,0.0861
12/31/1962,0.0861
1/2/1963,0.0863
1/3/1963,0.0862
1/4/1963,0.0862
1/7/1963,0.0863
1/8/1963,0.0858
1/9/1963,0.0868
1/10/1963,0.0875
1/11/1963,0.0885
1/14/1963,0.0898
1/15/1963,0.0925
1/16/1963,0.0927
1/17/1963,0.0921
1/18/1963,0.0916
1/21/1963,0.0916
1/22/1963,0.092
1/23/1963,0.0928
1/24/1963,0.0929
1/25/1963,0.0929
1/28/1963,0.0934
1/29/1963,0.0924
1/30/1963,0.0927
1/31/1963,0.0928
2/1/1963,0.0924
2/4/1963,0.0927
2/5/1963,0.0938
2/6/1963,0.093
2/7/1963,0.0916
2/8/1963,0.091
2/11/1963,0.0915
2/12/1963,0.0907
2/13/1963,0.0916
2/14/1963,0.092
2/15/1963,0.0914
2/18/1963,0.0913
2/19/1963,0.0914
2/20/1963,0.0917
2/21/1963,0.0929
2/25/1963,0.0936
2/26/1963,0.0929
2/27/1963,0.0934
2/28/1963,0.0936
3/1/1963,0.0935
3/4/1963,0.0931
3/5/1963,0.0936
3/6/1963,0.0931
3/7/1963,0.0934
3/8/1963,0.0929
3/11/1963,0.0929
3/12/1963,0.0933
3/13/1963,0.0932
